Project ID,Project Name,State,District,Constituency,Location,Work Category,Sanction Date,Expected Completion Date,Estimated Cost,Sanctioned Amount,Expenditure,Progress Percentage,Implementing Agency,Last Update Date,Latitude,Longitude
MPLADS-2023-MH-001,Construction of Community Hall at Gram Panchayat Bhavan,Maharashtra,Pune,Pune,Shivajinagar,Community Infrastructure,2023-04-10,2023-12-31,5000000,5000000,4800000,20,Pune Municipal Corporation,2024-01-15,18.5204,73.8567
MPLADS-2023-MH-002,Installation of High Mast Light near Main Chowk,Maharashtra,Pune,Baramati,Indapur,Electrification,2023-05-15,2023-08-15,800000,800000,800000,100,MSEDCL,2023-09-01,18.1151,75.0270
MPLADS-2023-KA-001,Provision of RO Water Purifiers in Govt Schools,Karnataka,Bengaluru Urban,Bengaluru South,Jayanagar,Education,2023-06-20,2023-10-31,1500000,1500000,1200000,80,BBMP,2023-11-10,12.9299,77.5826
MPLADS-2024-KA-002,Construction of Additional Classrooms at GHPS,Karnataka,Bengaluru Urban,Bengaluru North,Hebbal,Education,2024-01-10,2024-09-30,3500000,3500000,1000000,30,Zilla Panchayat,2024-03-15,13.0354,77.5988
MPLADS-2023-DL-001,Open Gym Equipment in DDA Park,Delhi,New Delhi,New Delhi,RK Puram,Sports,2023-08-05,2023-11-30,1200000,1200000,1100000,95,NDMC,2023-12-05,28.5677,77.1724
MPLADS-2023-DL-002,Construction of Public Toilet Complex,Delhi,East Delhi,East Delhi,Laxmi Nagar,Sanitation,2023-09-12,2024-03-31,2500000,2500000,2000000,40,EDMC,2024-02-20,28.6304,77.2773
MPLADS-2024-GJ-001,Drainage Pipeline Laying Phase 1,Gujarat,Ahmedabad,Ahmedabad West,Navrangpura,Sanitation,2024-02-01,2024-12-31,7500000,7500000,2000000,25,AMC,2024-04-10,23.0365,72.5611
MPLADS-2023-RJ-001,CC Road Construction from Main Road to Village Temple,Rajasthan,Jaipur,Jaipur Rural,Kotputli,Roads,2023-11-15,2024-05-31,8500000,8500000,8000000,60,PWD,2024-01-20,27.7027,76.2023
MPLADS-2024-RJ-002,Anganwadi Kendra Upgradation,Rajasthan,Udaipur,Udaipur,Gogunda,Social Welfare,2024-03-10,2024-08-31,2200000,2200000,500000,20,WCD,2024-04-15,24.7645,73.5255
MPLADS-2023-TN-001,Procurement of Ambulance for Primary Health Centre,Tamil Nadu,Madurai,Madurai,Melur,Health,2023-07-25,2023-10-31,2500000,2500000,2500000,0,DMO,2024-01-05,10.0381,78.3371
MPLADS-2024-TN-002,Bus Passenger Waiting Shelter,Tamil Nadu,Chennai,Chennai South,Adyar,Transport,2024-01-20,2024-04-30,900000,900000,300000,40,GCC,2024-03-10,13.0012,80.2565
MPLADS-2023-KL-001,Smart Classrooms with Digital Boards,Kerala,Ernakulam,Ernakulam,Vypin,Education,2023-10-05,2024-02-28,4500000,4500000,4000000,85,KITE,2024-02-15,10.0718,76.2081
MPLADS-2024-KL-002,Solar Street Lights in Ward 12,Kerala,Thiruvananthapuram,Thiruvananthapuram,Pattom,Electrification,2024-02-15,2024-06-30,1800000,1800000,900000,50,KSEB,2024-04-05,8.5288,76.9416
MPLADS-2023-UP-001,Pond Rejuvenation and Beautification,Uttar Pradesh,Varanasi,Varanasi,Lanka,Environment,2023-12-01,2024-11-30,6500000,6500000,3000000,45,VNN,2024-03-25,25.2811,82.9984
MPLADS-2024-WB-001,Modernization of Public Crematorium,West Bengal,Kolkata,Kolkata Dakshin,Kalighat,Public Utilities,2024-01-05,2024-08-31,3500000,3500000,1500000,35,KMC,2024-04-12,22.5205,88.3444
